,date,chien
0,2022-09-08,67
1,2022-09-09,74
2,2022-09-10,66
3,2022-09-11,60
4,2022-09-12,45
5,2022-09-13,82
6,2022-09-14,75
7,2022-09-15,63
8,2022-09-16,50
9,2022-09-17,74
10,2022-09-18,76
11,2022-09-19,55
12,2022-09-20,60
13,2022-09-21,62
14,2022-09-22,55
15,2022-09-23,50
16,2022-09-24,66
17,2022-09-25,76
18,2022-09-26,72
19,2022-09-27,82
20,2022-09-28,61
21,2022-09-29,49
22,2022-09-30,67
23,2022-10-01,84
24,2022-10-02,59
25,2022-10-03,68
26,2022-10-04,61
27,2022-10-05,68
28,2022-10-06,65
29,2022-10-07,78
30,2022-10-08,76
31,2022-10-09,78
32,2022-10-10,69
33,2022-10-11,57
34,2022-10-12,60
35,2022-10-13,72
36,2022-10-14,67
37,2022-10-15,100
38,2022-10-16,78
39,2022-10-17,52
40,2022-10-18,54
41,2022-10-19,79
42,2022-10-20,67
43,2022-10-21,82
44,2022-10-22,77
45,2022-10-23,79
46,2022-10-24,44
47,2022-10-25,67
48,2022-10-26,59
49,2022-10-27,53
50,2022-10-28,60
51,2022-10-29,57
52,2022-10-30,38
53,2022-10-31,45
54,2022-11-01,58
55,2022-11-02,50
56,2022-11-03,53
57,2022-11-04,56
58,2022-11-05,70
59,2022-11-06,68
60,2022-11-07,66
61,2022-11-08,48
62,2022-11-09,56
63,2022-11-10,52
64,2022-11-11,58
65,2022-11-12,67
66,2022-11-13,65
67,2022-11-14,55
