,date,dog
0,2022-01-01,69
1,2022-01-02,68
2,2022-01-03,63
3,2022-01-04,55
4,2022-01-05,59
5,2022-01-06,55
6,2022-01-07,62
7,2022-01-08,74
8,2022-01-09,74
9,2022-01-10,59
10,2022-01-11,62
11,2022-01-12,60
12,2022-01-13,60
13,2022-01-14,55
14,2022-01-15,74
15,2022-01-16,67
16,2022-01-17,60
17,2022-01-18,52
18,2022-01-19,54
19,2022-01-20,58
20,2022-01-21,60
21,2022-01-22,73
22,2022-01-23,67
23,2022-01-24,58
24,2022-01-25,53
25,2022-01-26,55
26,2022-01-27,59
27,2022-01-28,62
28,2022-01-29,69
29,2022-01-30,74
30,2022-01-31,61
31,2022-02-01,61
32,2022-02-02,58
33,2022-02-03,60
34,2022-02-04,60
35,2022-02-05,70
36,2022-02-06,72
37,2022-02-07,59
38,2022-02-08,71
39,2022-02-09,64
40,2022-02-10,53
41,2022-02-11,63
42,2022-02-12,75
43,2022-02-13,68
44,2022-02-14,63
45,2022-02-15,62
46,2022-02-16,60
47,2022-02-17,65
48,2022-02-18,67
49,2022-02-19,78
50,2022-02-20,78
51,2022-02-21,69
52,2022-02-22,62
53,2022-02-23,61
54,2022-02-24,56
55,2022-02-25,61
56,2022-02-26,71
57,2022-02-27,73
58,2022-02-28,59
59,2022-03-01,61
60,2022-03-02,60
61,2022-03-03,60
62,2022-03-04,62
63,2022-03-05,75
64,2022-03-06,72
65,2022-03-07,61
66,2022-03-08,57
67,2022-03-09,58
68,2022-03-10,59
69,2022-03-11,63
70,2022-03-12,73
71,2022-03-13,74
72,2022-03-14,63
73,2022-03-15,60
74,2022-03-16,63
75,2022-03-17,59
76,2022-03-18,63
77,2022-03-19,76
78,2022-03-20,75
79,2022-03-21,64
80,2022-03-22,61
81,2022-03-23,61
82,2022-03-24,63
83,2022-03-25,62
84,2022-03-26,75
85,2022-03-27,80
86,2022-03-28,63
87,2022-03-29,60
88,2022-03-30,62
89,2022-03-31,60
90,2022-04-01,61
91,2022-04-02,76
92,2022-04-03,73
93,2022-04-04,56
94,2022-04-05,58
95,2022-04-06,59
96,2022-04-07,59
97,2022-04-08,62
98,2022-04-09,71
99,2022-04-10,73
100,2022-04-11,60
101,2022-04-12,58
102,2022-04-13,57
103,2022-04-14,59
104,2022-04-15,63
105,2022-04-16,71
106,2022-04-17,70
107,2022-04-18,59
108,2022-04-19,57
109,2022-04-20,60
110,2022-04-21,61
111,2022-04-22,65
112,2022-04-23,72
113,2022-04-24,74
114,2022-04-25,59
115,2022-04-26,59
116,2022-04-27,56
117,2022-04-28,55
118,2022-04-29,56
119,2022-04-30,68
120,2022-05-01,69
121,2022-05-02,59
122,2022-05-03,56
123,2022-05-04,58
124,2022-05-05,57
125,2022-05-06,57
126,2022-05-07,68
127,2022-05-08,70
128,2022-05-09,58
129,2022-05-10,60
130,2022-05-11,60
131,2022-05-12,60
132,2022-05-13,60
133,2022-05-14,69
134,2022-05-15,69
135,2022-05-16,60
136,2022-05-17,60
137,2022-05-18,58
138,2022-05-19,59
139,2022-05-20,61
140,2022-05-21,68
141,2022-05-22,72
142,2022-05-23,61
143,2022-05-24,58
144,2022-05-25,59
145,2022-05-26,60
146,2022-05-27,61
147,2022-05-28,69
148,2022-05-29,74
149,2022-05-30,74
150,2022-05-31,60
151,2022-06-01,61
152,2022-06-02,63
153,2022-06-03,61
154,2022-06-04,71
155,2022-06-05,73
156,2022-06-06,60
157,2022-06-07,63
158,2022-06-08,61
159,2022-06-09,61
160,2022-06-10,64
161,2022-06-11,71
162,2022-06-12,74
163,2022-06-13,61
164,2022-06-14,61
165,2022-06-15,61
166,2022-06-16,62
167,2022-06-17,65
168,2022-06-18,75
169,2022-06-19,75
170,2022-06-20,66
171,2022-06-21,66
172,2022-06-22,67
173,2022-06-23,71
174,2022-06-24,66
175,2022-06-25,73
176,2022-06-26,75
177,2022-06-27,68
178,2022-06-28,70
179,2022-06-29,63
180,2022-06-30,64
181,2022-07-01,66
182,2022-07-02,77
183,2022-07-03,79
184,2022-07-04,100
185,2022-07-05,72
186,2022-07-06,66
187,2022-07-07,66
188,2022-07-08,65
189,2022-07-09,74
190,2022-07-10,79
191,2022-07-11,68
192,2022-07-12,61
193,2022-07-13,65
194,2022-07-14,66
195,2022-07-15,65
196,2022-07-16,78
197,2022-07-17,76
198,2022-07-18,63
199,2022-07-19,63
200,2022-07-20,67
201,2022-07-21,68
202,2022-07-22,65
203,2022-07-23,77
204,2022-07-24,76
205,2022-07-25,65
206,2022-07-26,64
207,2022-07-27,63
208,2022-07-28,64
209,2022-07-29,66
210,2022-07-30,69
211,2022-07-31,73
212,2022-08-01,62
213,2022-08-02,63
214,2022-08-03,64
215,2022-08-04,63
216,2022-08-05,64
217,2022-08-06,74
218,2022-08-07,76
219,2022-08-08,63
220,2022-08-09,64
221,2022-08-10,65
222,2022-08-11,63
223,2022-08-12,64
224,2022-08-13,72
225,2022-08-14,78
226,2022-08-15,62
227,2022-08-16,61
228,2022-08-17,65
229,2022-08-18,63
230,2022-08-19,61
231,2022-08-20,69
232,2022-08-21,76
233,2022-08-22,62
234,2022-08-23,62
235,2022-08-24,61
236,2022-08-25,59
237,2022-08-26,75
238,2022-08-27,79
239,2022-08-28,75
240,2022-08-29,60
241,2022-08-30,58
242,2022-08-31,58
243,2022-09-01,59
244,2022-09-02,57
245,2022-09-03,67
246,2022-09-04,71
247,2022-09-05,72
