,date,chien
283,2022-10-10,62
284,2022-10-11,65
285,2022-10-12,66
286,2022-10-13,75
287,2022-10-14,75
288,2022-10-15,100
289,2022-10-16,82
290,2022-10-17,53
291,2022-10-18,60
292,2022-10-19,71
293,2022-10-20,67
294,2022-10-21,70
295,2022-10-22,81
296,2022-10-23,81
297,2022-10-24,48
298,2022-10-25,74
299,2022-10-26,57
300,2022-10-27,54
301,2022-10-28,69
302,2022-10-29,62
303,2022-10-30,50
304,2022-10-31,48
305,2022-11-01,61
306,2022-11-02,51
307,2022-11-03,58
308,2022-11-04,52
309,2022-11-05,71
310,2022-11-06,60
311,2022-11-07,74
312,2022-11-08,56
313,2022-11-09,58
314,2022-11-10,53
315,2022-11-11,61
