,date,chien
0,2022-01-01,54
1,2022-01-02,53
2,2022-01-03,49
3,2022-01-04,43
4,2022-01-05,54
5,2022-01-06,43
6,2022-01-07,51
7,2022-01-08,60
8,2022-01-09,62
9,2022-01-10,53
10,2022-01-11,52
11,2022-01-12,45
12,2022-01-13,51
13,2022-01-14,54
14,2022-01-15,62
15,2022-01-16,50
16,2022-01-17,54
17,2022-01-18,45
18,2022-01-19,43
19,2022-01-20,72
20,2022-01-21,52
21,2022-01-22,61
22,2022-01-23,52
23,2022-01-24,59
24,2022-01-25,53
25,2022-01-26,51
26,2022-01-27,40
27,2022-01-28,59
28,2022-01-29,52
29,2022-01-30,44
30,2022-01-31,44
31,2022-02-01,49
32,2022-02-02,62
33,2022-02-03,66
34,2022-02-04,68
35,2022-02-05,76
36,2022-02-06,72
37,2022-02-07,68
38,2022-02-08,63
39,2022-02-09,70
40,2022-02-10,56
41,2022-02-11,55
42,2022-02-12,51
43,2022-02-13,48
44,2022-02-14,49
45,2022-02-15,50
46,2022-02-16,44
47,2022-02-17,60
48,2022-02-18,50
49,2022-02-19,53
50,2022-02-20,61
51,2022-02-21,40
52,2022-02-22,62
53,2022-02-23,52
54,2022-02-24,42
55,2022-02-25,53
56,2022-02-26,71
57,2022-02-27,66
58,2022-02-28,66
59,2022-03-01,54
60,2022-03-02,61
61,2022-03-03,61
62,2022-03-04,72
63,2022-03-05,58
64,2022-03-06,54
65,2022-03-07,72
66,2022-03-08,56
67,2022-03-09,59
68,2022-03-10,52
69,2022-03-11,57
70,2022-03-12,64
71,2022-03-13,71
72,2022-03-14,48
73,2022-03-15,55
74,2022-03-16,61
75,2022-03-17,60
76,2022-03-18,64
77,2022-03-19,75
78,2022-03-20,56
79,2022-03-21,66
80,2022-03-22,49
81,2022-03-23,55
82,2022-03-24,53
83,2022-03-25,61
84,2022-03-26,70
85,2022-03-27,66
86,2022-03-28,52
87,2022-03-29,51
88,2022-03-30,55
89,2022-03-31,52
90,2022-04-01,55
91,2022-04-02,85
92,2022-04-03,56
93,2022-04-04,46
94,2022-04-05,62
95,2022-04-06,50
96,2022-04-07,68
97,2022-04-08,80
98,2022-04-09,57
99,2022-04-10,51
100,2022-04-11,62
101,2022-04-12,55
102,2022-04-13,100
103,2022-04-14,55
104,2022-04-15,67
105,2022-04-16,70
106,2022-04-17,60
107,2022-04-18,43
108,2022-04-19,39
109,2022-04-20,69
110,2022-04-21,65
111,2022-04-22,54
112,2022-04-23,62
113,2022-04-24,73
114,2022-04-25,57
115,2022-04-26,68
116,2022-04-27,56
117,2022-04-28,65
118,2022-04-29,55
119,2022-04-30,56
120,2022-05-01,75
121,2022-05-02,56
122,2022-05-03,51
123,2022-05-04,62
124,2022-05-05,57
125,2022-05-06,50
126,2022-05-07,54
127,2022-05-08,55
128,2022-05-09,53
129,2022-05-10,54
130,2022-05-11,45
131,2022-05-12,54
132,2022-05-13,54
133,2022-05-14,62
134,2022-05-15,61
135,2022-05-16,82
136,2022-05-17,50
137,2022-05-18,68
138,2022-05-19,66
139,2022-05-20,46
140,2022-05-21,49
141,2022-05-22,63
142,2022-05-23,50
143,2022-05-24,62
144,2022-05-25,59
145,2022-05-26,60
146,2022-05-27,57
147,2022-05-28,48
148,2022-05-29,78
149,2022-05-30,51
150,2022-05-31,61
151,2022-06-01,48
152,2022-06-02,59
153,2022-06-03,84
154,2022-06-04,54
155,2022-06-05,66
156,2022-06-06,74
157,2022-06-07,73
158,2022-06-08,74
159,2022-06-09,63
160,2022-06-10,75
161,2022-06-11,72
162,2022-06-12,60
163,2022-06-13,56
164,2022-06-14,62
165,2022-06-15,74
166,2022-06-16,58
167,2022-06-17,82
168,2022-06-18,78
169,2022-06-19,82
170,2022-06-20,64
171,2022-06-21,68
172,2022-06-22,82
173,2022-06-23,79
174,2022-06-24,74
175,2022-06-25,60
176,2022-06-26,56
177,2022-06-27,63
178,2022-06-28,59
179,2022-06-29,48
180,2022-06-30,53
181,2022-07-01,73
182,2022-07-02,69
183,2022-07-03,77
184,2022-07-04,71
185,2022-07-05,48
186,2022-07-06,57
187,2022-07-07,72
188,2022-07-08,65
189,2022-07-09,68
190,2022-07-10,83
191,2022-07-11,52
192,2022-07-12,56
193,2022-07-13,55
194,2022-07-14,57
195,2022-07-15,92
196,2022-07-16,90
197,2022-07-17,79
198,2022-07-18,75
199,2022-07-19,74
200,2022-07-20,68
201,2022-07-21,68
202,2022-07-22,78
203,2022-07-23,71
204,2022-07-24,73
205,2022-07-25,67
206,2022-07-26,71
207,2022-07-27,60
208,2022-07-28,69
209,2022-07-29,72
210,2022-07-30,86
211,2022-07-31,65
212,2022-08-01,89
213,2022-08-02,67
214,2022-08-03,78
215,2022-08-04,66
216,2022-08-05,69
217,2022-08-06,77
218,2022-08-07,72
219,2022-08-08,66
220,2022-08-09,75
221,2022-08-10,57
222,2022-08-11,54
223,2022-08-12,83
224,2022-08-13,67
225,2022-08-14,78
226,2022-08-15,71
227,2022-08-16,65
228,2022-08-17,63
229,2022-08-18,60
230,2022-08-19,56
231,2022-08-20,76
232,2022-08-21,78
233,2022-08-22,61
234,2022-08-23,73
235,2022-08-24,49
236,2022-08-25,63
237,2022-08-26,57
238,2022-08-27,48
239,2022-08-28,70
240,2022-08-29,81
241,2022-08-30,50
242,2022-08-31,68
243,2022-09-01,58
244,2022-09-02,73
245,2022-09-03,63
246,2022-09-04,64
247,2022-09-05,48
248,2022-09-06,56
249,2022-09-07,45
250,2022-09-08,65
251,2022-09-08,71
252,2022-09-09,81
253,2022-09-10,60
254,2022-09-11,49
255,2022-09-12,69
256,2022-09-13,78
257,2022-09-14,60
258,2022-09-15,72
259,2022-09-16,61
260,2022-09-17,92
261,2022-09-18,68
262,2022-09-19,54
263,2022-09-20,57
264,2022-09-21,72
265,2022-09-22,60
266,2022-09-23,56
267,2022-09-24,69
268,2022-09-25,78
269,2022-09-26,71
270,2022-09-27,83
271,2022-09-28,60
272,2022-09-29,61
273,2022-09-30,71
274,2022-10-01,81
275,2022-10-02,70
276,2022-10-03,73
277,2022-10-04,60
278,2022-10-05,75
279,2022-10-06,62
280,2022-10-07,84
281,2022-10-08,85
282,2022-10-09,88
