,date,perro
0,2022-01-01,0
1,2022-01-02,0
2,2022-01-03,0
3,2022-01-04,64
4,2022-01-05,0
5,2022-01-06,0
6,2022-01-07,0
7,2022-01-08,62
8,2022-01-09,0
9,2022-01-10,0
10,2022-01-11,0
11,2022-01-12,0
12,2022-01-13,0
13,2022-01-14,0
14,2022-01-15,0
15,2022-01-16,0
16,2022-01-17,0
17,2022-01-18,56
18,2022-01-19,56
19,2022-01-20,0
20,2022-01-21,0
21,2022-01-22,0
22,2022-01-23,0
23,2022-01-24,0
24,2022-01-25,0
25,2022-01-26,0
26,2022-01-27,0
27,2022-01-28,0
28,2022-01-29,0
29,2022-01-30,0
30,2022-01-31,61
31,2022-02-01,0
32,2022-02-02,0
33,2022-02-03,0
34,2022-02-04,0
35,2022-02-05,0
36,2022-02-06,84
37,2022-02-07,0
38,2022-02-08,0
39,2022-02-09,64
40,2022-02-10,0
41,2022-02-11,0
42,2022-02-12,87
43,2022-02-13,0
44,2022-02-14,0
45,2022-02-15,0
46,2022-02-16,0
47,2022-02-17,0
48,2022-02-18,0
49,2022-02-19,0
50,2022-02-20,0
51,2022-02-21,0
52,2022-02-22,0
53,2022-02-23,0
54,2022-02-24,0
55,2022-02-25,0
56,2022-02-26,0
57,2022-02-27,0
58,2022-02-28,0
59,2022-03-01,0
60,2022-03-02,0
61,2022-03-03,0
62,2022-03-04,0
63,2022-03-05,0
64,2022-03-06,0
65,2022-03-07,0
66,2022-03-08,0
67,2022-03-09,0
68,2022-03-10,0
69,2022-03-11,0
70,2022-03-12,0
71,2022-03-13,0
72,2022-03-14,0
73,2022-03-15,63
74,2022-03-16,0
75,2022-03-17,0
76,2022-03-18,0
77,2022-03-19,0
78,2022-03-20,0
79,2022-03-21,73
80,2022-03-22,0
81,2022-03-23,0
82,2022-03-24,0
83,2022-03-25,71
84,2022-03-26,0
85,2022-03-27,0
86,2022-03-28,0
87,2022-03-29,0
88,2022-03-30,0
89,2022-03-31,0
