,date,chien
0,2022-01-01,46
1,2022-01-02,58
2,2022-01-03,55
3,2022-01-04,40
4,2022-01-05,39
5,2022-01-06,42
6,2022-01-07,50
7,2022-01-08,61
8,2022-01-09,54
9,2022-01-10,62
10,2022-01-11,52
11,2022-01-12,50
12,2022-01-13,51
13,2022-01-14,53
14,2022-01-15,56
15,2022-01-16,59
16,2022-01-17,57
17,2022-01-18,47
18,2022-01-19,36
19,2022-01-20,46
20,2022-01-21,53
21,2022-01-22,58
22,2022-01-23,39
23,2022-01-24,48
24,2022-01-25,49
25,2022-01-26,43
26,2022-01-27,25
27,2022-01-28,58
28,2022-01-29,55
29,2022-01-30,38
30,2022-01-31,41
31,2022-02-01,45
32,2022-02-02,53
33,2022-02-03,53
34,2022-02-04,60
35,2022-02-05,68
36,2022-02-06,52
37,2022-02-07,60
38,2022-02-08,60
39,2022-02-09,70
40,2022-02-10,48
41,2022-02-11,59
42,2022-02-12,49
43,2022-02-13,48
44,2022-02-14,48
45,2022-02-15,47
46,2022-02-16,45
47,2022-02-17,64
48,2022-02-18,47
49,2022-02-19,47
50,2022-02-20,55
51,2022-02-21,40
52,2022-02-22,65
53,2022-02-23,50
54,2022-02-24,45
55,2022-02-25,49
56,2022-02-26,68
57,2022-02-27,62
58,2022-02-28,65
59,2022-03-01,51
60,2022-03-02,59
61,2022-03-03,61
62,2022-03-04,72
63,2022-03-05,62
64,2022-03-06,61
65,2022-03-07,66
66,2022-03-08,47
67,2022-03-09,54
68,2022-03-10,55
69,2022-03-11,55
70,2022-03-12,61
71,2022-03-13,65
72,2022-03-14,45
73,2022-03-15,53
74,2022-03-16,58
75,2022-03-17,58
76,2022-03-18,59
77,2022-03-19,66
78,2022-03-20,49
79,2022-03-21,63
80,2022-03-22,51
81,2022-03-23,54
82,2022-03-24,43
83,2022-03-25,60
84,2022-03-26,62
85,2022-03-27,63
86,2022-03-28,53
87,2022-03-29,50
88,2022-03-30,48
89,2022-03-31,49
90,2022-04-01,54
91,2022-04-02,76
92,2022-04-03,56
93,2022-04-04,44
94,2022-04-05,62
95,2022-04-06,53
96,2022-04-07,64
97,2022-04-08,76
98,2022-04-09,55
99,2022-04-10,46
100,2022-04-11,58
101,2022-04-12,50
102,2022-04-13,100
103,2022-04-14,54
104,2022-04-15,66
105,2022-04-16,66
106,2022-04-17,64
