,date,chien
107,2022-04-18,40
108,2022-04-19,33
109,2022-04-20,65
110,2022-04-21,56
111,2022-04-22,54
112,2022-04-23,47
113,2022-04-24,71
114,2022-04-25,49
115,2022-04-26,51
116,2022-04-27,50
117,2022-04-28,64
118,2022-04-29,52
119,2022-04-30,66
120,2022-05-01,63
121,2022-05-02,52
122,2022-05-03,49
123,2022-05-04,57
124,2022-05-05,49
125,2022-05-06,61
126,2022-05-07,59
127,2022-05-08,52
128,2022-05-09,49
129,2022-05-10,36
130,2022-05-11,42
131,2022-05-12,51
132,2022-05-13,51
133,2022-05-14,55
134,2022-05-15,60
135,2022-05-16,81
136,2022-05-17,43
137,2022-05-18,64
138,2022-05-19,66
139,2022-05-20,61
140,2022-05-21,41
141,2022-05-22,63
142,2022-05-23,50
143,2022-05-24,59
144,2022-05-25,53
145,2022-05-26,64
146,2022-05-27,46
147,2022-05-28,49
148,2022-05-29,71
149,2022-05-30,42
150,2022-05-31,69
151,2022-06-01,49
152,2022-06-02,57
153,2022-06-03,86
154,2022-06-04,51
155,2022-06-05,62
156,2022-06-06,61
157,2022-06-07,76
158,2022-06-08,69
159,2022-06-09,61
160,2022-06-10,82
161,2022-06-11,72
162,2022-06-12,67
163,2022-06-13,55
164,2022-06-14,54
165,2022-06-15,69
166,2022-06-16,57
167,2022-06-17,80
168,2022-06-18,80
169,2022-06-19,83
170,2022-06-20,61
171,2022-06-21,63
172,2022-06-22,76
173,2022-06-23,66
174,2022-06-24,68
175,2022-06-25,62
176,2022-06-26,63
177,2022-06-27,63
178,2022-06-28,55
179,2022-06-29,45
180,2022-06-30,51
181,2022-07-01,70
182,2022-07-02,65
183,2022-07-03,75
184,2022-07-04,80
185,2022-07-05,50
186,2022-07-06,63
187,2022-07-07,74
188,2022-07-08,63
189,2022-07-09,66
190,2022-07-10,80
191,2022-07-11,56
192,2022-07-12,46
193,2022-07-13,48
194,2022-07-14,60
195,2022-07-15,88
196,2022-07-16,87
197,2022-07-17,74
198,2022-07-18,71
199,2022-07-19,72
200,2022-07-20,66
201,2022-07-21,67
202,2022-07-22,82
203,2022-07-23,55
204,2022-07-24,70
205,2022-07-25,62
206,2022-07-26,63
207,2022-07-27,62
208,2022-07-28,67
209,2022-07-29,66
210,2022-07-30,75
211,2022-07-31,56
212,2022-08-01,84
213,2022-08-02,49
214,2022-08-03,71
215,2022-08-04,57
216,2022-08-05,64
217,2022-08-06,69
218,2022-08-07,68
219,2022-08-08,65
220,2022-08-09,68
221,2022-08-10,50
222,2022-08-11,58
223,2022-08-12,83
224,2022-08-13,63
225,2022-08-14,68
226,2022-08-15,75
227,2022-08-16,64
228,2022-08-17,70
229,2022-08-18,55
230,2022-08-19,46
231,2022-08-20,69
232,2022-08-21,50
233,2022-08-22,61
234,2022-08-23,73
235,2022-08-24,57
236,2022-08-25,66
237,2022-08-26,53
238,2022-08-27,47
239,2022-08-28,62
240,2022-08-29,74
241,2022-08-30,49
242,2022-08-31,57
243,2022-09-01,58
244,2022-09-02,66
245,2022-09-03,64
246,2022-09-04,70
247,2022-09-05,41
248,2022-09-06,53
249,2022-09-07,45
250,2022-09-08,60
251,2022-09-08,64
252,2022-09-09,73
253,2022-09-10,66
254,2022-09-11,56
255,2022-09-12,54
256,2022-09-13,71
257,2022-09-14,58
258,2022-09-15,69
259,2022-09-16,56
260,2022-09-17,76
261,2022-09-18,68
262,2022-09-19,60
263,2022-09-20,49
264,2022-09-21,67
265,2022-09-22,56
266,2022-09-23,47
267,2022-09-24,65
268,2022-09-25,68
269,2022-09-26,69
270,2022-09-27,76
271,2022-09-28,62
272,2022-09-29,57
273,2022-09-30,62
274,2022-10-01,86
275,2022-10-02,70
276,2022-10-03,65
277,2022-10-04,52
278,2022-10-05,73
279,2022-10-06,55
280,2022-10-07,79
281,2022-10-08,77
282,2022-10-09,77
283,2022-10-10,53
284,2022-10-11,55
285,2022-10-12,61
286,2022-10-13,72
287,2022-10-14,82
288,2022-10-15,100
289,2022-10-16,70
290,2022-10-17,53
291,2022-10-18,53
292,2022-10-19,69
293,2022-10-20,75
294,2022-10-21,72
295,2022-10-22,94
296,2022-10-23,66
297,2022-10-24,46
298,2022-10-25,70
299,2022-10-26,55
300,2022-10-27,57
301,2022-10-28,55
302,2022-10-29,54
303,2022-10-30,45
304,2022-10-31,42
305,2022-11-01,62
306,2022-11-02,52
307,2022-11-03,56
308,2022-11-04,50
309,2022-11-05,89
310,2022-11-06,57
311,2022-11-07,68
312,2022-11-08,52
313,2022-11-09,48
