,date,hund
290,2022-10-17,33
291,2022-10-18,66
292,2022-10-19,33
293,2022-10-20,47
294,2022-10-21,76
295,2022-10-22,60
296,2022-10-23,54
297,2022-10-24,99
298,2022-10-25,63
299,2022-10-26,53
300,2022-10-27,37
301,2022-10-28,75
302,2022-10-29,63
303,2022-10-30,100
304,2022-10-31,56
305,2022-11-01,68
306,2022-11-02,30
307,2022-11-03,40
308,2022-11-04,51
309,2022-11-05,33
310,2022-11-06,74
311,2022-11-07,41
312,2022-11-08,42
313,2022-11-09,39
314,2022-11-10,28
315,2022-11-11,40
316,2022-11-12,39
317,2022-11-13,73
318,2022-11-14,29
