,date,keyword
253,2020-09-09,41
254,2020-09-10,38
255,2020-09-11,37
256,2020-09-12,34
257,2020-09-13,34
258,2020-09-14,38
259,2020-09-15,37
260,2020-09-16,37
261,2020-09-17,37
262,2020-09-18,36
263,2020-09-19,32
264,2020-09-20,31
265,2020-09-21,37
266,2020-09-22,41
267,2020-09-23,39
268,2020-09-24,37
269,2020-09-25,37
270,2020-09-26,35
271,2020-09-27,34
272,2020-09-28,39
273,2020-09-29,41
274,2020-09-30,36
275,2020-10-01,36
276,2020-10-02,89
277,2020-10-03,64
278,2020-10-04,54
279,2020-10-05,58
280,2020-10-06,52
281,2020-10-07,50
282,2020-10-08,47
283,2020-10-09,45
284,2020-10-10,38
285,2020-10-11,37
286,2020-10-12,42
287,2020-10-13,43
288,2020-10-14,45
289,2020-10-15,47
290,2020-10-16,44
291,2020-10-17,40
292,2020-10-18,39
293,2020-10-19,46
294,2020-10-20,50
295,2020-10-21,51
296,2020-10-22,48
297,2020-10-23,47
298,2020-10-24,43
299,2020-10-25,43
300,2020-10-26,53
301,2020-10-27,54
302,2020-10-28,57
303,2020-10-29,55
304,2020-10-30,54
305,2020-10-31,51
306,2020-11-01,49
307,2020-11-02,56
308,2020-11-03,49
309,2020-11-04,29
310,2020-11-05,38
311,2020-11-06,45
312,2020-11-07,42
313,2020-11-08,45
314,2020-11-09,69
315,2020-11-10,69
316,2020-11-11,73
317,2020-11-12,79
318,2020-11-13,84
319,2020-11-14,79
320,2020-11-15,75
321,2020-11-16,98
322,2020-11-17,100
323,2020-11-18,99
324,2020-11-19,92
325,2020-11-20,89
326,2020-11-21,81
327,2020-11-22,70
328,2020-11-23,87
329,2020-11-24,80
330,2020-11-25,73
331,2020-11-26,57
332,2020-11-27,58
333,2020-11-28,60
334,2020-11-29,60
335,2020-11-30,68
336,2020-12-01,70
337,2020-12-02,69
338,2020-12-03,73
339,2020-12-04,74
340,2020-12-05,70
341,2020-12-06,65
342,2020-12-07,76
343,2020-12-08,79
344,2020-12-09,79
345,2020-12-10,81
346,2020-12-11,77
347,2020-12-12,69
348,2020-12-13,66
349,2020-12-14,77
350,2020-12-15,75
351,2020-12-16,76
352,2020-12-17,74
353,2020-12-18,79
354,2020-12-19,77
355,2020-12-20,78
356,2020-12-21,87
357,2020-12-22,88
358,2020-12-23,83
359,2020-12-24,68
360,2020-12-25,52
361,2020-12-26,62
362,2020-12-27,66
363,2020-12-28,84
364,2020-12-29,85
365,2020-12-30,91
366,2020-12-31,82
367,2021-01-01,68
368,2021-01-02,70
369,2021-01-03,73
370,2021-01-04,83
371,2021-01-05,87
372,2021-01-06,74
373,2021-01-07,73
374,2021-01-08,78
375,2021-01-09,68
376,2021-01-10,64
377,2021-01-11,81
378,2021-01-12,85
379,2021-01-13,89
380,2021-01-14,91
381,2021-01-15,86
382,2021-01-16,71
383,2021-01-17,65
384,2021-01-18,78
385,2021-01-19,85
386,2021-01-20,74
387,2021-01-21,77
388,2021-01-22,82
389,2021-01-23,71
390,2021-01-24,64
391,2021-01-25,81
392,2021-01-26,79
393,2021-01-27,77
394,2021-01-28,76
395,2021-01-29,72
396,2021-01-30,64
397,2021-01-31,57
398,2021-02-01,66
399,2021-02-02,71
400,2021-02-03,73
401,2021-02-04,70
402,2021-02-05,68
403,2021-02-06,61
404,2021-02-07,52
405,2021-02-08,64
406,2021-02-09,71
407,2021-02-10,69
408,2021-02-11,69
409,2021-02-12,67
410,2021-02-13,56
411,2021-02-14,51
412,2021-02-15,59
413,2021-02-16,59
414,2021-02-17,60
415,2021-02-18,57
416,2021-02-19,55
417,2021-02-20,51
418,2021-02-21,49
419,2021-02-22,62
420,2021-02-23,62
421,2021-02-24,64
422,2021-02-25,66
423,2021-02-26,62
424,2021-02-27,59
425,2021-02-28,55
426,2021-03-01,67
427,2021-03-02,72
428,2021-03-03,76
429,2021-03-04,74
430,2021-03-05,72
431,2021-03-06,68
432,2021-03-07,60
433,2021-03-08,76
434,2021-03-09,83
435,2021-03-10,81
436,2021-03-11,80
437,2021-03-12,79
438,2021-03-13,61
439,2021-03-14,57
440,2021-03-15,71
441,2021-03-16,73
442,2021-03-17,70
443,2021-03-18,68
444,2021-03-19,67
445,2021-03-20,57
446,2021-03-21,56
447,2021-03-22,73
448,2021-03-23,72
449,2021-03-24,71
450,2021-03-25,71
451,2021-03-26,67
452,2021-03-27,58
453,2021-03-28,54
454,2021-03-29,76
455,2021-03-30,79
456,2021-03-31,74
457,2021-04-01,74
458,2021-04-02,69
459,2021-04-03,56
460,2021-04-04,54
461,2021-04-05,75
462,2021-04-06,75
463,2021-04-07,71
464,2021-04-08,69
465,2021-04-09,64
466,2021-04-10,55
467,2021-04-11,53
468,2021-04-12,62
469,2021-04-13,64
470,2021-04-14,57
471,2021-04-15,55
472,2021-04-16,51
473,2021-04-17,46
474,2021-04-18,43
475,2021-04-19,54
476,2021-04-20,51
477,2021-04-21,49
478,2021-04-22,50
479,2021-04-23,48
480,2021-04-24,43
481,2021-04-25,43
482,2021-04-26,50
483,2021-04-27,52
484,2021-04-28,52
485,2021-04-29,48
486,2021-04-30,45
487,2021-05-01,91
488,2021-05-02,54
489,2021-05-03,47
490,2021-05-04,46
491,2021-05-05,43
492,2021-05-06,43
493,2021-05-07,39
494,2021-05-08,34
495,2021-05-09,33
496,2021-05-10,42
497,2021-05-11,43
498,2021-05-12,41
499,2021-05-13,48
500,2021-05-14,49
501,2021-05-15,39
502,2021-05-15,25
503,2021-05-16,23
504,2021-05-17,27
505,2021-05-18,26
506,2021-05-19,25
507,2021-05-20,24
508,2021-05-21,22
509,2021-05-22,20
510,2021-05-23,20
511,2021-05-24,24
512,2021-05-25,23
513,2021-05-26,21
514,2021-05-27,20
515,2021-05-28,19
516,2021-05-29,17
517,2021-05-30,16
518,2021-05-31,18
519,2021-06-01,20
520,2021-06-02,20
521,2021-06-03,20
522,2021-06-04,19
523,2021-06-05,17
524,2021-06-06,16
525,2021-06-07,17
526,2021-06-08,18
527,2021-06-09,18
528,2021-06-10,18
529,2021-06-11,18
530,2021-06-12,15
531,2021-06-13,15
532,2021-06-14,18
533,2021-06-15,20
534,2021-06-16,18
535,2021-06-17,17
536,2021-06-18,16
537,2021-06-19,15
538,2021-06-20,14
539,2021-06-21,17
540,2021-06-22,18
541,2021-06-23,17
542,2021-06-24,17
543,2021-06-25,15
544,2021-06-26,15
545,2021-06-27,14
546,2021-06-28,17
547,2021-06-29,18
548,2021-06-30,16
549,2021-07-01,15
