,date,perro
0,2022-01-01,61
1,2022-01-02,58
2,2022-01-03,52
3,2022-01-04,57
4,2022-01-05,50
5,2022-01-06,57
6,2022-01-07,60
7,2022-01-08,58
8,2022-01-09,65
9,2022-01-10,62
10,2022-01-11,56
11,2022-01-12,55
12,2022-01-13,60
13,2022-01-14,53
14,2022-01-15,65
15,2022-01-16,63
16,2022-01-17,69
17,2022-01-18,52
18,2022-01-19,50
19,2022-01-20,53
20,2022-01-21,62
21,2022-01-22,65
22,2022-01-23,69
23,2022-01-24,52
24,2022-01-25,50
25,2022-01-26,61
26,2022-01-27,60
27,2022-01-28,57
28,2022-01-29,68
29,2022-01-30,53
30,2022-01-31,58
31,2022-02-01,62
32,2022-02-02,55
33,2022-02-03,60
34,2022-02-04,60
35,2022-02-05,67
36,2022-02-06,74
37,2022-02-07,62
38,2022-02-08,54
39,2022-02-09,56
40,2022-02-10,45
41,2022-02-11,67
42,2022-02-12,84
43,2022-02-13,66
44,2022-02-14,58
45,2022-02-15,67
46,2022-02-16,57
47,2022-02-17,56
48,2022-02-18,56
49,2022-02-19,77
50,2022-02-20,70
51,2022-02-21,63
52,2022-02-22,62
53,2022-02-23,65
54,2022-02-24,59
55,2022-02-25,61
56,2022-02-26,59
57,2022-02-27,70
58,2022-02-28,53
59,2022-03-01,62
60,2022-03-02,62
61,2022-03-03,54
62,2022-03-04,59
63,2022-03-05,59
64,2022-03-06,67
65,2022-03-07,56
66,2022-03-08,58
67,2022-03-09,61
68,2022-03-10,54
69,2022-03-11,56
70,2022-03-12,61
71,2022-03-13,80
72,2022-03-14,55
73,2022-03-15,56
74,2022-03-16,63
75,2022-03-17,57
76,2022-03-18,63
77,2022-03-19,73
78,2022-03-20,70
79,2022-03-21,65
80,2022-03-22,61
81,2022-03-23,63
82,2022-03-24,66
83,2022-03-25,64
84,2022-03-26,65
85,2022-03-27,81
86,2022-03-28,62
87,2022-03-29,53
88,2022-03-30,59
89,2022-03-31,61
90,2022-04-01,62
91,2022-04-02,59
92,2022-04-03,72
93,2022-04-04,56
94,2022-04-05,58
95,2022-04-06,64
96,2022-04-07,52
97,2022-04-08,57
98,2022-04-09,65
99,2022-04-10,69
100,2022-04-11,61
101,2022-04-12,64
102,2022-04-13,59
103,2022-04-14,57
104,2022-04-15,59
105,2022-04-16,66
106,2022-04-17,76
107,2022-04-18,59
108,2022-04-19,55
109,2022-04-20,66
110,2022-04-21,58
111,2022-04-22,54
112,2022-04-23,72
113,2022-04-24,72
114,2022-04-25,61
115,2022-04-26,54
116,2022-04-27,54
117,2022-04-28,54
118,2022-04-29,60
119,2022-04-30,64
120,2022-05-01,61
121,2022-05-02,59
122,2022-05-03,54
123,2022-05-04,56
124,2022-05-05,68
125,2022-05-06,57
126,2022-05-07,59
127,2022-05-08,63
128,2022-05-09,51
129,2022-05-10,55
130,2022-05-11,53
131,2022-05-12,53
132,2022-05-13,59
133,2022-05-14,64
134,2022-05-15,71
135,2022-05-16,61
136,2022-05-17,52
137,2022-05-18,55
138,2022-05-19,67
139,2022-05-20,64
140,2022-05-21,70
141,2022-05-22,75
142,2022-05-23,60
143,2022-05-24,58
144,2022-05-25,54
145,2022-05-26,58
146,2022-05-27,62
147,2022-05-28,74
148,2022-05-29,100
149,2022-05-30,83
150,2022-05-31,64
151,2022-06-01,59
152,2022-06-02,49
153,2022-06-03,62
154,2022-06-04,63
155,2022-06-05,76
156,2022-06-06,58
157,2022-06-07,55
158,2022-06-08,51
159,2022-06-09,62
160,2022-06-10,61
161,2022-06-11,63
162,2022-06-12,72
163,2022-06-13,59
164,2022-06-14,66
165,2022-06-15,57
166,2022-06-16,57
167,2022-06-17,63
168,2022-06-18,66
169,2022-06-19,83
170,2022-06-20,63
171,2022-06-21,60
172,2022-06-22,52
173,2022-06-23,59
174,2022-06-24,66
175,2022-06-25,74
176,2022-06-26,70
177,2022-06-27,62
178,2022-06-28,70
179,2022-06-29,70
180,2022-06-30,65
181,2022-07-01,62
182,2022-07-02,74
183,2022-07-03,78
184,2022-07-04,74
185,2022-07-05,63
186,2022-07-06,55
187,2022-07-07,60
188,2022-07-08,61
189,2022-07-09,80
190,2022-07-10,75
191,2022-07-11,64
192,2022-07-12,59
193,2022-07-13,59
194,2022-07-14,61
195,2022-07-15,66
196,2022-07-16,72
197,2022-07-17,75
198,2022-07-18,63
199,2022-07-19,63
200,2022-07-20,60
201,2022-07-21,76
202,2022-07-22,82
203,2022-07-23,76
204,2022-07-24,80
205,2022-07-25,66
206,2022-07-26,58
207,2022-07-27,62
208,2022-07-28,68
209,2022-07-29,76
210,2022-07-30,71
211,2022-07-31,78
212,2022-08-01,53
213,2022-08-02,62
214,2022-08-03,68
215,2022-08-04,61
216,2022-08-05,58
217,2022-08-06,66
218,2022-08-07,79
219,2022-08-08,56
220,2022-08-09,59
221,2022-08-10,57
222,2022-08-11,56
223,2022-08-12,58
224,2022-08-13,90
225,2022-08-14,91
226,2022-08-15,69
227,2022-08-16,67
228,2022-08-17,65
229,2022-08-18,61
230,2022-08-19,62
231,2022-08-20,68
232,2022-08-21,82
233,2022-08-22,57
234,2022-08-23,59
235,2022-08-24,57
236,2022-08-25,63
237,2022-08-26,77
238,2022-08-27,78
239,2022-08-28,77
240,2022-08-29,70
241,2022-08-30,64
242,2022-08-31,66
243,2022-09-01,73
244,2022-09-02,66
245,2022-09-03,76
246,2022-09-04,73
247,2022-09-05,72
248,2022-09-06,61
249,2022-09-07,62
250,2022-09-08,56
251,2022-09-08,65
252,2022-09-09,64
253,2022-09-10,81
254,2022-09-11,71
255,2022-09-12,69
256,2022-09-13,76
257,2022-09-14,69
258,2022-09-15,64
259,2022-09-16,67
260,2022-09-17,84
261,2022-09-18,77
262,2022-09-19,78
263,2022-09-20,62
264,2022-09-21,75
265,2022-09-22,69
266,2022-09-23,71
267,2022-09-24,82
268,2022-09-25,83
269,2022-09-26,72
270,2022-09-27,69
271,2022-09-28,75
272,2022-09-29,69
273,2022-09-30,74
274,2022-10-01,75
275,2022-10-02,82
276,2022-10-03,58
277,2022-10-04,67
278,2022-10-05,78
279,2022-10-06,73
280,2022-10-07,76
281,2022-10-08,81
282,2022-10-09,94
283,2022-10-10,70
284,2022-10-11,72
285,2022-10-12,72
286,2022-10-13,74
287,2022-10-14,73
288,2022-10-15,98
289,2022-10-16,100
290,2022-10-17,81
291,2022-10-18,63
292,2022-10-19,75
293,2022-10-20,74
294,2022-10-21,67
295,2022-10-22,79
296,2022-10-23,90
297,2022-10-24,77
298,2022-10-25,84
299,2022-10-26,71
300,2022-10-27,77
301,2022-10-28,74
302,2022-10-29,94
303,2022-10-30,89
304,2022-10-31,76
305,2022-11-01,71
306,2022-11-02,70
307,2022-11-03,81
308,2022-11-04,79
309,2022-11-05,68
310,2022-11-06,79
311,2022-11-07,74
312,2022-11-08,67
313,2022-11-09,74
314,2022-11-10,70
315,2022-11-11,74
