,date,perro
290,2022-10-17,80
291,2022-10-18,63
292,2022-10-19,74
293,2022-10-20,74
294,2022-10-21,65
295,2022-10-22,79
296,2022-10-23,93
297,2022-10-24,76
298,2022-10-25,81
299,2022-10-26,72
300,2022-10-27,77
301,2022-10-28,73
302,2022-10-29,90
303,2022-10-30,81
304,2022-10-31,74
305,2022-11-01,69
306,2022-11-02,70
307,2022-11-03,79
308,2022-11-04,77
309,2022-11-05,66
310,2022-11-06,74
311,2022-11-07,74
312,2022-11-08,68
313,2022-11-09,75
