,date,hund
0,2022-01-01,49
1,2022-01-02,40
2,2022-01-03,58
3,2022-01-04,44
4,2022-01-05,37
5,2022-01-06,48
6,2022-01-07,43
7,2022-01-08,53
8,2022-01-09,47
9,2022-01-10,38
10,2022-01-11,52
11,2022-01-12,38
12,2022-01-13,42
13,2022-01-14,51
14,2022-01-15,100
15,2022-01-16,50
16,2022-01-17,30
17,2022-01-18,48
18,2022-01-19,51
19,2022-01-20,62
20,2022-01-21,54
21,2022-01-22,48
22,2022-01-23,51
23,2022-01-24,45
24,2022-01-25,45
25,2022-01-26,36
26,2022-01-27,47
27,2022-01-28,49
28,2022-01-29,49
29,2022-01-30,34
30,2022-01-31,61
31,2022-02-01,32
32,2022-02-02,12
33,2022-02-03,39
34,2022-02-04,25
35,2022-02-05,47
36,2022-02-06,35
37,2022-02-07,47
38,2022-02-08,40
39,2022-02-09,47
40,2022-02-10,32
41,2022-02-11,36
42,2022-02-12,33
43,2022-02-13,40
44,2022-02-14,37
45,2022-02-15,39
46,2022-02-16,32
47,2022-02-17,36
48,2022-02-18,31
49,2022-02-19,37
50,2022-02-20,34
51,2022-02-21,37
52,2022-02-22,35
53,2022-02-23,32
54,2022-02-24,26
55,2022-02-25,11
56,2022-02-26,38
57,2022-02-27,43
58,2022-02-28,56
59,2022-03-01,39
60,2022-03-02,46
61,2022-03-03,33
62,2022-03-04,20
63,2022-03-05,30
64,2022-03-06,22
65,2022-03-07,30
66,2022-03-08,26
67,2022-03-09,43
68,2022-03-10,37
69,2022-03-11,31
70,2022-03-12,38
71,2022-03-13,43
72,2022-03-14,31
73,2022-03-15,22
74,2022-03-16,44
75,2022-03-17,33
76,2022-03-18,34
77,2022-03-19,40
78,2022-03-20,40
79,2022-03-21,36
80,2022-03-22,34
81,2022-03-23,40
82,2022-03-24,33
83,2022-03-25,27
84,2022-03-26,38
85,2022-03-27,39
86,2022-03-28,27
87,2022-03-29,26
88,2022-03-30,34
89,2022-03-31,20
90,2022-04-01,32
91,2022-04-02,25
92,2022-04-03,28
93,2022-04-04,23
94,2022-04-05,26
95,2022-04-06,23
96,2022-04-07,29
97,2022-04-08,29
98,2022-04-09,26
99,2022-04-10,32
100,2022-04-11,26
101,2022-04-12,20
102,2022-04-13,22
103,2022-04-14,17
104,2022-04-15,16
105,2022-04-16,22
106,2022-04-17,29
107,2022-04-18,18
108,2022-04-19,55
109,2022-04-20,28
110,2022-04-21,33
111,2022-04-22,25
112,2022-04-23,39
113,2022-04-24,25
114,2022-04-25,36
115,2022-04-26,36
116,2022-04-27,43
117,2022-04-28,20
118,2022-04-29,22
119,2022-04-30,30
120,2022-05-01,37
121,2022-05-02,29
122,2022-05-03,22
123,2022-05-04,22
124,2022-05-05,28
125,2022-05-06,26
126,2022-05-07,24
127,2022-05-08,50
128,2022-05-09,19
129,2022-05-10,27
130,2022-05-11,26
131,2022-05-12,25
132,2022-05-13,24
133,2022-05-14,31
134,2022-05-15,36
135,2022-05-16,18
136,2022-05-17,39
137,2022-05-18,45
138,2022-05-19,10
139,2022-05-20,28
140,2022-05-21,38
141,2022-05-22,38
142,2022-05-23,25
143,2022-05-24,29
144,2022-05-25,26
145,2022-05-26,50
146,2022-05-27,31
147,2022-05-28,14
148,2022-05-29,29
149,2022-05-30,26
150,2022-05-31,27
151,2022-06-01,20
152,2022-06-02,30
153,2022-06-03,25
154,2022-06-04,34
155,2022-06-05,51
156,2022-06-06,29
157,2022-06-07,34
158,2022-06-08,22
159,2022-06-09,32
160,2022-06-10,29
161,2022-06-11,36
162,2022-06-12,31
163,2022-06-13,37
164,2022-06-14,37
165,2022-06-15,37
166,2022-06-16,34
167,2022-06-17,44
168,2022-06-18,34
169,2022-06-19,50
170,2022-06-20,34
171,2022-06-21,34
172,2022-06-22,30
173,2022-06-23,25
174,2022-06-24,33
175,2022-06-25,31
176,2022-06-26,43
177,2022-06-27,34
178,2022-06-28,33
179,2022-06-29,20
180,2022-06-30,46
181,2022-07-01,34
182,2022-07-02,47
183,2022-07-03,44
184,2022-07-04,40
185,2022-07-05,22
186,2022-07-06,31
187,2022-07-07,21
188,2022-07-08,34
189,2022-07-09,36
190,2022-07-10,56
191,2022-07-11,42
192,2022-07-12,26
193,2022-07-13,23
194,2022-07-14,24
195,2022-07-15,11
196,2022-07-16,32
197,2022-07-17,29
