,date,hund
198,2022-07-18,31
199,2022-07-19,40
200,2022-07-20,44
201,2022-07-21,38
202,2022-07-22,32
203,2022-07-23,38
204,2022-07-24,62
205,2022-07-25,37
206,2022-07-26,30
207,2022-07-27,34
208,2022-07-28,29
209,2022-07-29,29
210,2022-07-30,31
211,2022-07-31,36
212,2022-08-01,36
213,2022-08-02,15
214,2022-08-03,53
215,2022-08-04,39
216,2022-08-05,31
217,2022-08-06,36
218,2022-08-07,38
219,2022-08-08,44
220,2022-08-09,44
221,2022-08-10,47
222,2022-08-11,34
223,2022-08-12,38
224,2022-08-13,46
225,2022-08-14,63
226,2022-08-15,39
227,2022-08-16,37
228,2022-08-17,34
229,2022-08-18,34
230,2022-08-19,40
231,2022-08-20,22
232,2022-08-21,29
233,2022-08-22,31
234,2022-08-23,43
235,2022-08-24,16
236,2022-08-25,24
237,2022-08-26,29
238,2022-08-27,35
239,2022-08-28,30
240,2022-08-29,31
241,2022-08-30,44
242,2022-08-31,26
243,2022-09-01,41
244,2022-09-02,27
245,2022-09-03,58
246,2022-09-04,37
247,2022-09-05,40
248,2022-09-06,21
249,2022-09-07,37
250,2022-09-08,31
251,2022-09-08,50
252,2022-09-09,49
253,2022-09-10,28
254,2022-09-11,76
255,2022-09-12,50
256,2022-09-13,34
257,2022-09-14,57
258,2022-09-15,61
259,2022-09-16,73
260,2022-09-17,45
261,2022-09-18,78
262,2022-09-19,45
263,2022-09-20,63
264,2022-09-21,54
265,2022-09-22,54
266,2022-09-23,47
267,2022-09-24,34
268,2022-09-25,69
269,2022-09-26,50
270,2022-09-27,57
271,2022-09-28,46
272,2022-09-29,40
273,2022-09-30,36
274,2022-10-01,88
275,2022-10-02,33
276,2022-10-03,51
277,2022-10-04,58
278,2022-10-05,70
279,2022-10-06,38
280,2022-10-07,50
281,2022-10-08,48
282,2022-10-09,59
283,2022-10-10,43
284,2022-10-11,56
285,2022-10-12,39
286,2022-10-13,46
287,2022-10-14,47
288,2022-10-15,80
289,2022-10-16,100
290,2022-10-17,27
291,2022-10-18,59
292,2022-10-19,31
293,2022-10-20,36
294,2022-10-21,74
295,2022-10-22,44
296,2022-10-23,49
297,2022-10-24,61
298,2022-10-25,42
299,2022-10-26,51
300,2022-10-27,43
301,2022-10-28,69
302,2022-10-29,54
303,2022-10-30,83
304,2022-10-31,67
305,2022-11-01,53
306,2022-11-02,37
307,2022-11-03,35
308,2022-11-04,49
309,2022-11-05,39
310,2022-11-06,68
311,2022-11-07,35
312,2022-11-08,43
313,2022-11-09,42
