,date,dog
290,2022-10-17,82
291,2022-10-18,82
292,2022-10-19,81
293,2022-10-20,82
294,2022-10-21,79
295,2022-10-22,100
296,2022-10-23,93
297,2022-10-24,76
298,2022-10-25,75
299,2022-10-26,82
300,2022-10-27,78
301,2022-10-28,76
302,2022-10-29,89
303,2022-10-30,89
304,2022-10-31,80
305,2022-11-01,74
306,2022-11-02,77
307,2022-11-03,75
308,2022-11-04,76
309,2022-11-05,87
310,2022-11-06,89
311,2022-11-07,77
312,2022-11-08,73
313,2022-11-09,69
